"Organization","Pipeline Name","Pipeline Step","Valid","Build Number","Code Committer","Build Creator","First Code Committed Time In PR","PR Created Time","PR Merged Time","No PR Committed Time","Job Start Time","Pipeline Start Time","Pipeline Finish Time","Non-Workdays (Hours)","Total Lead Time (HH:mm:ss)","PR Lead Time (HH:mm:ss)","Pipeline Lead Time (HH:mm:ss)","Status","Branch","Revert"
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Deploy prod","true","4109","weiraneve",,"2024-01-16T09:35:48Z","2024-01-16T10:42:42Z","2024-01-16T15:24:36Z",,"2024-01-16T15:44:09Z","2024-01-16T15:24:36Z","2024-01-16T15:44:39.934Z","0","6:8:51","5:48:48","0:20:3","passed","main","false"
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Deploy prod","true","4104","sqsq5566",,"2024-01-16T08:55:43Z","2024-01-16T09:33:36Z","2024-01-16T13:49:23Z",,"2024-01-16T14:09:48Z","2024-01-16T13:49:23Z","2024-01-16T14:10:20.523Z","0","5:14:37","4:53:40","0:20:57","passed","main","false"
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Deploy prod","true","4094","lxuebing",,"2024-01-16T08:20:20Z","2024-01-16T08:42:05Z","2024-01-16T09:03:42Z",,"2024-01-16T09:29:48Z","2024-01-16T09:03:42Z","2024-01-16T09:30:16.889Z","0","1:9:56","0:43:22","0:26:34","passed","main","false"
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Deploy prod","true","4087","Yunsong",,"2024-01-16T08:42:19Z","2024-01-16T08:43:18Z","2024-01-16T08:43:45Z",,"2024-01-16T09:02:16Z","2024-01-16T08:43:45Z","2024-01-16T09:02:46.685Z","0","0:20:27","0:1:26","0:19:1","passed","main","false"
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Deploy prod","true","4078","Unknown","heartbeat-user","2024-01-16T06:33:44Z","2024-01-16T07:25:34Z","2024-01-16T07:58:33Z",,"2024-01-16T08:31:57Z","2024-01-16T07:58:33Z","2024-01-16T08:32:28.349Z","0","1:58:44","1:24:49","0:33:55","passed","main","false"
"Thoughtworks-Heartbeat","Heartbeat",":pipeline: Upload pipeline.yml","false","4075","Yunsong",,,,,,,,"2024-01-16T07:58:17.589Z","0",,,,"canceled","main",""
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Deploy prod","true","4070","Yunsong",,"2024-01-16T07:06:35Z","2024-01-16T07:11:17Z","2024-01-16T07:31:50Z",,"2024-01-16T07:50:18Z","2024-01-16T07:31:50Z","2024-01-16T07:50:58.369Z","0","0:44:23","0:25:15","0:19:8","passed","main","false"
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Deploy prod","true","4065","mrcuriosity-tw",,"2024-01-16T03:51:04Z","2024-01-10T07:48:39Z","2024-01-16T05:44:17Z",,"2024-01-16T06:36:15Z","2024-01-16T05:44:17Z","2024-01-16T06:36:44.984Z","0","2:45:40","1:53:13","0:52:27","passed","main","false"
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Deploy prod","true","4064","Unknown","heartbeat-user","2024-01-16T03:35:20Z","2024-01-16T03:38:26Z","2024-01-16T03:47:27Z",,"2024-01-16T06:10:58Z","2024-01-16T03:47:27Z","2024-01-16T06:11:26.201Z","0","2:36:6","0:12:7","2:23:59","passed","main","false"
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Deploy prod","true","4056","weiraneve",,"2024-01-16T02:27:37Z","2024-01-16T02:38:02Z","2024-01-16T02:41:35Z",,"2024-01-16T03:00:48Z","2024-01-16T02:41:35Z","2024-01-16T03:01:19.266Z","0","0:33:42","0:13:58","0:19:44","passed","main","false"
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Run e2e","false","4054","Jianxun.Ma",,,,,,,,"2024-01-16T02:22:28.775Z","0",,,,"passed","main",""
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Deploy prod","true","4050","BoBoDai",,"2024-01-16T01:14:24Z","2024-01-16T01:13:59Z","2024-01-16T01:36:23Z",,"2024-01-16T01:56:42Z","2024-01-16T01:36:23Z","2024-01-16T01:57:13.241Z","0","0:42:49","0:21:59","0:20:50","passed","main","false"
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Deploy prod","true","4047","guzhongren","guzhongren",,,,"2024-01-15T15:41:49Z","2024-01-15T16:09:35Z","2024-01-15T15:41:49Z","2024-01-15T16:10:04.028Z","0","0:28:15","0:0:0","0:28:15","passed","main","false"
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Deploy e2e","false","4046","guzhongren","guzhongren",,,,,,,"2024-01-15T15:40:09.332Z","0",,,,"passed","main",""
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Deploy prod","true","4045","guzhongren","guzhongren",,,,"2024-01-15T14:30:35Z","2024-01-15T14:58:51Z","2024-01-15T14:30:35Z","2024-01-15T14:59:21.298Z","0","0:28:46","0:0:0","0:28:46","passed","main","false"
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Deploy prod","true","4044","neomgb",,"2024-01-15T09:00:10Z","2024-01-15T09:55:27Z","2024-01-15T10:06:21Z",,"2024-01-15T10:33:21Z","2024-01-15T10:06:21Z","2024-01-15T10:33:54.045Z","0","1:33:44","1:6:11","0:27:33","passed","main","false"
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Run e2e","false","4034","JiangRu1",,,,,,,,"2024-01-15T08:49:47.422Z","0",,,,"failed","main",""
"Thoughtworks-Heartbeat","Heartbeat",":mag: Check Backend License","false","4033","Unknown","heartbeat-user",,,,,,,"2024-01-15T08:14:07.027Z","0",,,,"canceled","main",""
"Thoughtworks-Heartbeat","Heartbeat",":pipeline: Upload pipeline.yml","false","4031","Unknown","heartbeat-user",,,,,,,"2024-01-15T07:58:40.203Z","0",,,,"canceled","main",""
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Run e2e","false","4027","Jianxun.Ma",,,,,,,,"2024-01-15T08:25:40.681Z","0",,,,"failed","main",""
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Run e2e","false","4018","neomgb",,,,,,,,"2024-01-15T06:49:24.921Z","0",,,,"failed","main",""
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Deploy prod","true","4012","weiraneve",,"2024-01-12T08:02:24Z","2024-01-15T01:27:53Z","2024-01-15T03:45:41Z",,"2024-01-15T04:04:34Z","2024-01-15T03:45:41Z","2024-01-15T04:05:06.398Z","48","20:2:42","19:43:17","0:19:25","passed","main","false"
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Deploy prod","true","4001","Andrea2000728",,"2024-01-12T09:06:51Z","2024-01-12T09:23:06Z","2024-01-15T01:37:22Z",,"2024-01-15T01:57:23Z","2024-01-15T01:37:22Z","2024-01-15T01:57:54.756Z","48","16:51:3","16:30:31","0:20:32","passed","main","false"
